"","Year","Name","BPWin","Prob","LL","UL"
"Gosford Park",2001,"Gosford Park",0,0.201035370369845,0.0538913420596121,0.364890863434422
"In the Bedroom",2001,"In the Bedroom",0,0.0233342117235952,0.00179823824961575,0.0566586255953486
"The Lord of the Rings: The Fellowship of the Ring",2001,"The Lord of the Rings: The Fellowship of the Ring",0,0.158926334203742,0.0706713889744379,0.265803670598191
"Moulin Rouge!",2001,"Moulin Rouge!",0,0.21234868983343,0.0874006458022851,0.348857128629052
"Chicago",2002,"Chicago",1,0.642790788507319,0.503622350674374,0.776092124339076
"Gangs of New York",2002,"Gangs of New York",0,0.073034458877404,0.00274623934920579,0.161393514460999
"The Hours",2002,"The Hours",0,0.174891416582074,0.0781370353784147,0.282132184780276
"The Lord of the Rings: The Two Towers",2002,"The Lord of the Rings: The Two Towers",0,0.0118091754539402,0.00155407616040057,0.0275758491706654
"The Pianist",2002,"The Pianist",0,0.0974741605792633,0.0259702833189865,0.187755963144752
"The Lord of the Rings: The Return of the King",2003,"The Lord of the Rings: The Return of the King",1,0.854569162447172,0.741729623021146,0.949462774996982
"Lost in Translation",2003,"Lost in Translation",0,0.0873904656088679,0.0209644522144522,0.168792467147242
"Master and Commander: The Far Side of the World",2003,"Master and Commander: The Far Side of the World",0,0.00112204936966711,0,0.00364173096276417
"Mystic River",2003,"Mystic River",0,0.0469292791198494,0.00210926049300466,0.114783113303351
"Seabiscuit",2003,"Seabiscuit",0,0.00998904345444395,0,0.0245756917631918
"Million Dollar Baby",2004,"Million Dollar Baby",1,0.303244074436594,0.137360584076308,0.486402557686961
"The Aviator",2004,"The Aviator",0,0.226945211793074,0.0871849158351451,0.390902433528616
"Finding Neverland",2004,"Finding Neverland",0,0.00446425901311583,0,0.0121041353137473
"Ray",2004,"Ray",0,0.00561488551500473,0,0.0135400884596408
"Sideways",2004,"Sideways",0,0.459731569242211,0.265448111504297,0.65132535011163
"Crash",2005,"Crash",1,0.117115055614214,0.0305450172827674,0.231258878366381
"Brokeback Mountain",2005,"Brokeback Mountain",0,0.854665494608552,0.741234082301056,0.948840154547119
"Capote",2005,"Capote",0,0.0180805099754367,0.00224668715674913,0.0375484193427465
"Good Night, and Good Luck",2005,"Good Night, and Good Luck",0,0.00560871804040887,0,0.0145530145530146
"Munich",2005,"Munich",0,0.00453022176138872,0,0.0124414310981475
"The Departed",2006,"The Departed",1,0.395268162511547,0.240062423419137,0.549286031472898
"Babel",2006,"Babel",0,0.131276869542671,0.0364132983859843,0.248049545673224
"Letters from Iwo Jima",2006,"Letters from Iwo Jima",0,0.00287442413689936,0,0.0076657824933687
"Little Miss Sunshine",2006,"Little Miss Sunshine",0,0.388232325102639,0.24444329641263,0.528669321548249
"The Queen",2006,"The Queen",0,0.0823482187062433,0.0204424327584277,0.17060220345505
"No Country for Old Men",2007,"No Country for Old Men",1,0.773221441949121,0.640138392235174,0.888459704339533
"Atonement",2007,"Atonement",0,0.142395346834997,0.0494904700707731,0.266253076292043
"Juno",2007,"Juno",0,0.0531927132728577,0.00803647823854886,0.115404822847905
"Michael Clayton",2007,"Michael Clayton",0,0.0235884297819445,0.00384843622936768,0.0495187811720698
"There Will Be Blood",2007,"There Will Be Blood",0,0.0076020681610794,0,0.0190536851683349
"Slumdog Millionaire",2008,"Slumdog Millionaire",1,0.777804829378359,0.60636392663485,0.920275769373378
"The Curious Case of Benjamin Button",2008,"The Curious Case of Benjamin Button",0,0.0399591302995544,0.00221141475965849,0.0947740274599543
"Frost/Nixon",2008,"Frost/Nixon",0,0.012286877520272,0,0.0323895383915845
"Milk",2008,"Milk",0,0.146852065776304,0.038287465644438,0.272384719142224
"The Reader",2008,"The Reader",0,0.0230970970255112,0.00176341623237043,0.0600246382394197
"The Hurt Locker",2009,"The Hurt Locker",1,0.578788860249757,0.364135349553638,0.772397571248838
"Avatar",2009,"Avatar",0,0.0753250637824441,0.00836125627181028,0.173761960718482
"The Blind Side",2009,"The Blind Side",0,0.027460600918119,0,0.0732785214286197
"District 9",2009,"District 9",0,0.00956433858086603,0,0.0268118833832169
"An Education",2009,"An Education",0,0.0150388224563712,0,0.0356400160707111
"Inglourious Basterds",2009,"Inglourious Basterds",0,0.187198756516408,0.049475248980964,0.347305785123967
"Precious: Based on the Novel Push by Sapphire",2009,"Precious: Based on the Novel Push by Sapphire",0,0.0437898630798603,0.00419847163922075,0.0974491980370846
"A Serious Man",2009,"A Serious Man",0,0.00114841119113354,0,0.00374531835205993
"Up",2009,"Up",0,0.0388021158746295,0,0.112260282153711
"Up in the Air",2009,"Up in the Air",0,0.0228831673504115,0.00197589478525933,0.0542537034731732
"The King's Speech",2010,"The King's Speech",1,0.508289091592172,0.350254237288136,0.654780602477044
"127 Hours",2010,"127 Hours",0,0.00469899428349001,0,0.0133355592654424
"Black Swan",2010,"Black Swan",0,0.0178509923013025,0,0.0439423811775341
"The Fighter",2010,"The Fighter",0,0.017504539606548,0.00332115905040593,0.0361696382545228
"Inception",2010,"Inception",0,0.0364989059993575,0.0020316974424805,0.086900774721743
"The Kids Are All Right",2010,"The Kids Are All Right",0,0.0648410863353078,0.0141161968937464,0.122885230774691
"The Social Network",2010,"The Social Network",0,0.297941265967273,0.159716811904939,0.442322361287365
"Toy Story 3",2010,"Toy Story 3",0,0.0305846500158514,0,0.0899937288731856
"True Grit",2010,"True Grit",0,0.00530967906945105,0,0.0120536609372437
"Winter's Bone",2010,"Winter's Bone",0,0.016480794829246,0,0.0411967545638945
"The Artist",2011,"The Artist",1,0.568720287072115,0.363636363636364,0.762963804331365
"The Descendants",2011,"The Descendants",0,0.128903408569898,0.0310667551106555,0.259846968281507
"Extremely Loud & Incredibly Close",2011,"Extremely Loud & Incredibly Close",0,0.0369280998792207,0,0.096022482788296
"The Help",2011,"The Help",0,0.164303079175934,0.0484813248766737,0.292328931572629
"Hugo",2011,"Hugo",0,0.00664120023724403,0,0.017130156611846
"Midnight in Paris",2011,"Midnight in Paris",0,0.0506874786195194,0.00378083812098682,0.130953601818232
"Moneyball",2011,"Moneyball",0,0.0274112559123096,0.00210438044797528,0.0623960622308166
"The Tree of Life",2011,"The Tree of Life",0,0.00035865639222823,0,0.00195810283988474
"War Horse",2011,"War Horse",0,0.016046534141532,0,0.0430615104678644
"Argo",2012,"Argo",1,0.720396717497488,0.546936090225564,0.877325640920632
"Amour",2012,"Amour",0,0.0188258763878409,0,0.0462838158519222
"Beasts of the Southern Wild",2012,"Beasts of the Southern Wild",0,0.00820902853547774,0,0.0210504201680672
"Django Unchained",2012,"Django Unchained",0,0.00771487171846665,0,0.0207169753323599
"Les Misérables",2012,"Les Misérables",0,0.0596556685401341,0.0172339795767352,0.111428377316006
"Life of Pi",2012,"Life of Pi",0,0.0020693709656758,0,0.00581395348837209
"Lincoln",2012,"Lincoln",0,0.0437342001913579,0.00626392018023817,0.0921295653381475
"Silver Linings Playbook",2012,"Silver Linings Playbook",0,0.0820672494915777,0.00849076972902947,0.171415434757304
"Zero Dark Thirty",2012,"Zero Dark Thirty",0,0.0573270166719815,0.00973188673350564,0.125360373504523
"12 Years a Slave",2013,"12 Years a Slave",1,0.342302387376907,0.187128754337681,0.497384172661871
"American Hustle",2013,"American Hustle",0,0.192653436061646,0.0690177638453501,0.328554895385288
"Captain Phillips",2013,"Captain Phillips",0,0.0330638909414337,0.0051137846442925,0.0687204188594891
"Dallas Buyers Club",2013,"Dallas Buyers Club",0,0.0099898625190007,0.00128732369891975,0.0241462832597542
"Gravity",2013,"Gravity",0,0.351160609947064,0.221291947049902,0.480331002767269
"Her",2013,"Her",0,0.0128831621184795,0,0.032403072344506
"Nebraska",2013,"Nebraska",0,0.0124749184146066,0.00168181818181818,0.0261643126750274
"Philomena",2013,"Philomena",0,0.012444577686701,0,0.0298334751055628
"The Wolf of Wall Street",2013,"The Wolf of Wall Street",0,0.0330271549341616,0.0052805486500449,0.0735384337784194
"Birdman or (The Unexpected Virtue of Ignorance)",2014,"Birdman or (The Unexpected Virtue of Ignorance)",1,0.423794109072774,0.264536091775889,0.586429082915619
"American Sniper",2014,"American Sniper",0,0.0308187573326765,0,0.0805949086884339
"Boyhood",2014,"Boyhood",0,0.403038788331815,0.234692438151129,0.556415898333101
"The Grand Budapest Hotel",2014,"The Grand Budapest Hotel",0,0.076442730311159,0.00947867298578199,0.160222121282311
"The Imitation Game",2014,"The Imitation Game",0,0.0222611448018374,0.00262404674330006,0.0478024532698074
"Selma",2014,"Selma",0,0.0240385194870542,0,0.0794603458556947
"The Theory of Everything",2014,"The Theory of Everything",0,0.0150163346650533,0,0.0339120402164657
"Whiplash",2014,"Whiplash",0,0.00458961599763045,0,0.0119265681812403
"Spotlight",2015,"Spotlight",1,0.295483411353524,0.157965277777778,0.448534322820037
"The Big Short",2015,"The Big Short",0,0.255541584586892,0.149412336085478,0.368840121964553
"Bridge of Spies",2015,"Bridge of Spies",0,0.0153633791878605,0.0022883295194508,0.0305621368533875
"Brooklyn",2015,"Brooklyn",0,0.00770496559334702,0,0.0189994356204144
"Mad Max: Fury Road",2015,"Mad Max: Fury Road",0,0.00890340401611067,0,0.0224154044473091
"The Martian",2015,"The Martian",0,0.0215175150723667,0.00254931503380517,0.0474008638790569
"The Revenant",2015,"The Revenant",0,0.387055377538485,0.267725123576187,0.514112568999877
"Room",2015,"Room",0,0.00843036265141385,0,0.0226074140527378
"Moonlight",2016,"Moonlight",1,0.175389128302193,0.0626419768378027,0.290339165768306
"Arrival",2016,"Arrival",0,0.0170596359750465,0,0.0424258500120569
"Fences",2016,"Fences",0,0.0085255952355983,0,0.0197299981318152
"Hacksaw Ridge",2016,"Hacksaw Ridge",0,0.00345827403233156,0,0.0093174941001028
"Hell or High Water",2016,"Hell or High Water",0,0.019572898032639,0.00221141475965849,0.0440665623625601
"Hidden Figures",2016,"Hidden Figures",0,0.0772931129367509,0.0175681959612399,0.15666633476053
"La La Land",2016,"La La Land",0,0.65373339922329,0.485532994923858,0.822118315412651
"Lion",2016,"Lion",0,0.00864726598711638,0,0.0189170442523803
"Manchester by the Sea",2016,"Manchester by the Sea",0,0.0363206902750346,0.00673705858747994,0.0752504003691539
